Suburb,Female percentage,Male percentage,,,,
Alpine (S),46.0,72.4,,,,
Ararat (RC),52.7,59.1,,,,
Ballarat (C),42.6,62.1,,,,
Banyule (C),42.7,56.5,,,,
Bass Coast (S),48.2,53.6,,,,
Baw Baw (S),46.6,66.3,,,,
Bayside (C),31.5,57.4,,,,
Benalla (RC),52.5,70.5,,,,
Boroondara (C),25.7,52.0,,,,
Brimbank (C),40.6,54.8,,,,
Buloke (S),44.4,53.2,,,,
Campaspe (S),51.3,59.7,,,,
Cardinia (S),46.9,68.8,,,,
Casey (C),54.1,63.6,,,,
Central Goldfields (S),63.6,62.9,,,,
Colac-Otway (S),42.4,76.8,,,,
Corangamite (S),58.9,65.1,,,,
Darebin (C),44.6,51.0,,,,
East Gippsland (S),57.4,62.0,,,,
Frankston (C),47.9,67.4,,,,
Gannawarra (S),54.6,73.2,,,,
Glen Eira (C),36.6,56.6,,,,
Glenelg (S),43.7,62.2,,,,
Golden Plains (S),51.8,61.8,,,,
Greater Bendigo (C),55.1,65.3,,,,
Greater Dandenong (C),38.0,55.0,,,,
Greater Geelong (C),43.1,56.3,,,,
Greater Shepparton (C),54.8,74.3,,,,
Hepburn (S),40.1,52.2,,,,
Hindmarsh (S),50.8,57.7,,,,
Hobsons Bay (C),44.7,62.8,,,,
Horsham (RC),56.6,46.3,,,,
Hume (C),52.5,63.7,,,,
Indigo (S),41.1,61.6,,,,
Kingston (C),42.1,51.3,,,,
Knox (C),48.6,63.5,,,,
Latrobe (C),55.7,53.0,,,,
Loddon (S),48.3,51.5,,,,
Macedon Ranges (S),52.2,60.5,,,,
Manningham (C),36.8,53.4,,,,
Mansfield (S),57.3,56.7,,,,
Maribyrnong (C),33.1,57.8,,,,
Maroondah (C),42.8,61.7,,,,
Melbourne (C),20.9,41.3,,,,
Melton (S),51.8,64.2,,,,
Mildura (RC),50.2,64.8,,,,
Mitchell (S),54.2,70.9,,,,
Moira (S),50.3,67.4,,,,
Monash (C),41.7,43.2,,,,
Moonee Valley (C),35.4,59.7,,,,
Moorabool (S),55.4,65.2,,,,
Moreland (C),41.9,59.1,,,,
Mornington Peninsula (S),49.9,63.3,,,,
Mount Alexander (S),48.6,48.5,,,,
Moyne (S),64.9,50.9,,,,
Murrindindi (S),34.5,55.6,,,,
Nillumbik (S),37.1,52.3,,,,
Northern Grampians (S),58.9,60.0,,,,
Port Phillip (C),29.6,48.7,,,,
Pyrenees (S),50.9,70.6,,,,
Queenscliffe (B),33.3,55.9,,,,
South Gippsland (S),46.1,64.7,,,,
Southern Grampians (S),55.0,55.2,,,,
Stonnington (C),24.3,46.0,,,,
Strathbogie (S),48.3,69.4,,,,
Surf Coast (S),52.9,63.0,,,,
Swan Hill (RC),46.2,53.4,,,,
Towong (S),48.9,68.8,,,,
Wangaratta (RC),58.7,63.4,,,,
Warrnambool (C),47.7,64.9,,,,
Wellington (S),49.7,64.0,,,,
West Wimmera (S),53.6,73.9,,,,
Whitehorse (C),40.6,56.2,,,,
Whittlesea (C),51.3,63.5,,,,
Wodonga (RC),53.1,70.6,,,,
Wyndham (C),59.6,61.8,,,,
Yarra (C),36.1,43.4,,,,
Yarra Ranges (S),44.4,57.0,,,,
Yarriambiack (S),60.5,50.7,,,,
